subseries,filename,path,size,created,modified,accessed,md5,sha1,flagged,labels,comment,type,exportedAs
Bookmark: 03 Suberies III: Natural History Column,2SJGBIBL.WPD,/CM115.ad1/A::A:\/2SJGBIBL.WPD,23277 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/20/1995 7:33:38 AM (1995-06-20 14:33:38 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),5D610D65EBB8200DA945CCB87ED8C6CA,81A10CF968A27F37D758EE7E8A1FC556A900831D,False,"D,S:Evolution (Biology),S:Natural history,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\2SJGBIBL.WPD
Bookmark: 03 Suberies III: Natural History Column,300.doc,/CM114.ad1/A::A:\/300.doc,43520 B,5/2/2000 11:35:55 AM (2000-05-02 18:35:55 UTC),5/1/2002 3:55:26 PM (2002-05-01 22:55:26 UTC),5/1/2002 12:00:00 AM (2002-05-01 07:00:00 UTC),052C5B972AA93153A74AE24E73635D84,25F0574419748C493FA95F1DC9386B96C45B1177,False,"D,CM:3.5,O,A,I,P",n/a,Microsoft Word 6.0,files\300.doc
Bookmark: 03 Suberies III: Natural History Column,301.doc,/CM114.ad1/A::A:\/301.doc,52224 B,6/13/2000 8:57:59 AM (2000-06-13 15:57:59 UTC),5/1/2002 3:56:06 PM (2002-05-01 22:56:06 UTC),5/1/2002 12:00:00 AM (2002-05-01 07:00:00 UTC),34B57237AD002D18E5D47EF5E6B709CC,594622F1CE35759CCCD13A8018264F31631C8849,False,"D,CM:3.5,O,A,I,P",n/a,Microsoft Word 6.0,files\301.doc
Bookmark: 03 Suberies III: Natural History Column,302.doc,/CM114.ad1/A::A:\/302.doc,48640 B,8/1/2000 9:49:22 AM (2000-08-01 16:49:22 UTC),5/1/2002 3:56:40 PM (2002-05-01 22:56:40 UTC),5/1/2002 12:00:00 AM (2002-05-01 07:00:00 UTC),940485C7CA02FB1BF1E93D1566E01477,CD3D59DED260FAF0B2B3C98DF5A0F2DAE05A5DAB,False,"D,CM:3.5,O,A,I,P",n/a,Microsoft Word 6.0,files\302.doc
Bookmark: 03 Suberies III: Natural History Column,304.doc,/CM114.ad1/A::A:\/304.doc,40448 B,10/3/2000 8:23:59 AM (2000-10-03 15:23:59 UTC),5/1/2002 3:57:10 PM (2002-05-01 22:57:10 UTC),5/1/2002 12:00:00 AM (2002-05-01 07:00:00 UTC),0F0060A3D72E12C040DE8C4AB9D7B8F7,5ADF5FB93C35CB34BCD42485303806C0C3E5E47B,False,"D,CM:3.5,O,A,I,P",n/a,Microsoft Word 6.0,files\304.doc
Bookmark: 03 Suberies III: Natural History Column,DIH-1.WPD,/CM041.ad1/A::A:\/DIH-1.WPD,22143 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/6/1995 2:37:06 PM (1995-06-06 21:37:06 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),07226A14D3DD0D5C29A7312AF8EF62C8,62B15F1B8470A6328F1799C582D15AB874093DC8,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-1[131002].WPD
Bookmark: 03 Suberies III: Natural History Column,DIH-10,/CM041.ad1/A::A:\/DIH-10,27700 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/1/1995 9:50:48 AM (1995-06-01 16:50:48 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),0D144E05DE5B764795CDC292A9830289,D98287E67EBEDFF1AE9C6E451F034445628FB0E5,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-10[131003].wpd
Bookmark: 03 Suberies III: Natural History Column,DIH-11.WPD,/CM041.ad1/A::A:\/DIH-11.WPD,34383 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/5/1995 9:05:06 AM (1995-06-05 16:05:06 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),DEF1AAED15A5E6EEFA626726664FBA42,FA554A308DB8CC59B73C5F7B132A43204D27A558,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-11[131005].WPD
Bookmark: 03 Suberies III: Natural History Column,DIH-13.WPD,/CM041.ad1/A::A:\/DIH-13.WPD,31851 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/5/1995 10:02:42 AM (1995-06-05 17:02:42 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),11CBBDFD0A215BA7F39BDCCCB6758CE1,C734FA0EA4106C8F6A3FED3FE960613DDB58AE9E,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-13[131006].WPD
Bookmark: 03 Suberies III: Natural History Column,DIH-14.WPD,/CM041.ad1/A::A:\/DIH-14.WPD,31081 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/5/1995 10:45:22 AM (1995-06-05 17:45:22 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),D91F48CB0E9082126FABA9374891082F,2C8318A78CE903D164B07116A07737D82C859649,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-14[131007].WPD
Bookmark: 03 Suberies III: Natural History Column,DIH-15.WPD,/CM041.ad1/A::A:\/DIH-15.WPD,42466 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/5/1995 5:02:20 PM (1995-06-06 00:02:20 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),31A4393ADEA36E89EB93D02849C77D94,CF5DAD887A2BA041C179441E60623DE14A952C39,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-15[131009].WPD
Bookmark: 03 Suberies III: Natural History Column,DIH-16.WPD,/CM041.ad1/A::A:\/DIH-16.WPD,30196 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/5/1995 1:54:22 PM (1995-06-05 20:54:22 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),0A800984CC635E80C43F2012763890C0,F1B43F3C5255C21874B65696CD11C39E4E185BBB,False,"D,S:Evolution (Biology),S:Natural history,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\DIH-16[131008].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO-16.BK!,/CM059.ad1/A::A:\/EPILO-16.BK!,8311 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/13/1995 10:41:42 AM (1995-06-13 17:41:42 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),90049C481440678E49873B68A45C59DB,0E09A0540C68B71EECEE2FD00C9BFA61144D61B0,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-16.BK!.wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO-16.BK!,/CM116.ad1/A::A:\/EPILO-16.BK!,8311 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/13/1995 10:41:42 AM (1995-06-13 17:41:42 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),90049C481440678E49873B68A45C59DB,0E09A0540C68B71EECEE2FD00C9BFA61144D61B0,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-16.BK![23041].wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO-16.WPD,/CM064.ad1/A::A:\/EPILO-16.WPD,8215 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/14/1995 1:19:02 PM (1995-06-14 20:19:02 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),F52593B60338136592D0D627876E72C1,439697288FCA8024D009BEE542513212A5559231,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-16.WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO-16.WPD,/CM116.ad1/A::A:\/EPILO-16.WPD,8215 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/14/1995 1:19:02 PM (1995-06-14 20:19:02 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),F52593B60338136592D0D627876E72C1,439697288FCA8024D009BEE542513212A5559231,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-16[23049].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO-28.BK!,/CM064.ad1/A::A:\/EPILO-28.BK!,10796 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/14/1995 8:22:08 AM (1995-06-14 15:22:08 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),DAB3D65E3426FF2735686318C82FFA9C,CA588571DC531C94A3D17973E2A45DAED493D258,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-28.BK!.wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO-28.BK!,/CM116.ad1/A::A:\/EPILO-28.BK!,10796 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/14/1995 8:22:08 AM (1995-06-14 15:22:08 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),DAB3D65E3426FF2735686318C82FFA9C,CA588571DC531C94A3D17973E2A45DAED493D258,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-28.BK![23047].wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO-28.WPD,/CM115.ad1/A::A:\/EPILO-28.WPD,10778 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/15/1995 8:22:48 AM (1995-06-15 15:22:48 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6AF9FA10BC7057A81B8B58F07464C8F8,5964CDC6DC70A03402C8BF796141D1961AECA86E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-28.WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO-28.WPD,/CM059.ad1/A::A:\/EPILO-28.WPD,10778 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/15/1995 8:22:48 AM (1995-06-15 15:22:48 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6AF9FA10BC7057A81B8B58F07464C8F8,5964CDC6DC70A03402C8BF796141D1961AECA86E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-28[8002].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO-28.WPD,/CM116.ad1/A::A:\/EPILO-28.WPD,10743 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/14/1995 8:25:36 AM (1995-06-14 15:25:36 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),7DD19FD0BF8E9B15E47044460DD74000,0B190492B27AD2D7D1513141D0F0ED154AF42DFA,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO-28[23046].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO24.BK!,/CM059.ad1/A::A:\/EPILO24.BK!,3445 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/8/1995 11:12:44 AM (1995-06-08 18:12:44 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6FCE697AB69EAF3848D2E6CEB522AABC,835391EB986E52D0B512697742F0EFD9B5FEA71E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO24.BK!.wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO24.BK!,/CM116.ad1/A::A:\/EPILO24.BK!,3445 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/8/1995 11:12:44 AM (1995-06-08 18:12:44 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6FCE697AB69EAF3848D2E6CEB522AABC,835391EB986E52D0B512697742F0EFD9B5FEA71E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO24.BK![23011].wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO24.WPD,/CM059.ad1/A::A:\/EPILO24.WPD,3548 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/8/1995 1:45:14 PM (1995-06-08 20:45:14 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),4F2D216C3C6F7BAA98AFA9FD6068B7CC,98B71789BAC94CED4FFF4CE22B228DBA39561F0E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO24.WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO24.WPD,/CM116.ad1/A::A:\/EPILO24.WPD,3548 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/8/1995 1:45:14 PM (1995-06-08 20:45:14 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),4F2D216C3C6F7BAA98AFA9FD6068B7CC,98B71789BAC94CED4FFF4CE22B228DBA39561F0E,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO24[23034].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILO8,/CM059.ad1/A::A:\/EPILO8,10426 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/7/1995 9:50:54 AM (1995-06-07 16:50:54 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),20D491DB36F073ADA032E7801DAD4311,60893003C0C435AE4335CB00D96040A0708A2F70,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO8.wpd
Bookmark: 03 Suberies III: Natural History Column,EPILO8,/CM116.ad1/A::A:\/EPILO8,10426 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/7/1995 9:50:54 AM (1995-06-07 16:50:54 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),20D491DB36F073ADA032E7801DAD4311,60893003C0C435AE4335CB00D96040A0708A2F70,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILO8[23018].wpd
Bookmark: 03 Suberies III: Natural History Column,EPILOG.BK!,/CM059.ad1/A::A:\/EPILOG.BK!,10449 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),5/30/1995 4:48:16 PM (1995-05-30 23:48:16 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),386908579DA970033D25F3622B06C5B9,AD513A791A09CA99C26691D8629A331DDD524B74,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILOG.BK!.wpd
Bookmark: 03 Suberies III: Natural History Column,EPILOG.WPD,/CM059.ad1/A::A:\/EPILOG.WPD,10449 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),5/30/1995 4:53:42 PM (1995-05-30 23:53:42 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),EF77A70F848808285143CA2015D07320,93CA61489CD68E6DF9EBA2187DEF5E620DEB48D4,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\EPILOG.WPD
Bookmark: 03 Suberies III: Natural History Column,EPILOG.WPD,/CM041.ad1/A::A:\/EPILOG.WPD,10426 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/7/1995 9:50:54 AM (1995-06-07 16:50:54 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),20D491DB36F073ADA032E7801DAD4311,60893003C0C435AE4335CB00D96040A0708A2F70,False,"D,CM:5.25,O,A,I,P",n/a,WordPerfect 6.0,files\EPILOG[131023].WPD
Bookmark: 03 Suberies III: Natural History Column,EPILOG1,/CM082.ad1/A::A:\/EPILOG1,7280 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),2/4/1992 8:28:50 AM (1992-02-04 16:28:50 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),C90FE7201A256C4573064EF9447B8D8C,FF2437DCBE7E0C309F9A066115B3F0178B2944CF,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\EPILOG1.wp5
Bookmark: 03 Suberies III: Natural History Column,EPILOGU2,/CM082.ad1/A::A:\/EPILOGU2,3410 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),2/4/1992 8:33:10 AM (1992-02-04 16:33:10 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),49CFA2D7DB86609F845E26C5408C3051,D517D1AA89510456239FFC846487A3D2DF03C5C9,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\EPILOGU2.wp5
Bookmark: 03 Suberies III: Natural History Column,LUCY.W50,/CM029.ad1/A::A:\/LUCY.W50,31596 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),6/28/1994 11:07:52 AM (1994-06-28 18:07:52 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),53132644CDD14D98A097D5AC54226CE4,BEA92284DCEC819F5A3C052B52B17EE81051A681,False,"D,CM:5.25,O,A,I,P",n/a,WordPerfect 5.0,files\LUCY.W50.wp5
Bookmark: 03 Suberies III: Natural History Column,LUCY.W51,/CM023.ad1/A::A:\/LUCY.W51,31482 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),8/9/1994 1:55:22 PM (1994-08-09 20:55:22 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),2C2EF5C5D6C29E8EEDED0C7AD74D90ED,DEBF12BE5353087187AD8441C5F09DD4E9E59CA1,False,"D,CM:5.25,O,A,I,P",n/a,WordPerfect 5.0,files\LUCY.W51.wp5
Bookmark: 03 Suberies III: Natural History Column,MILLEN25,/CM066.ad1/A::A:\/MILLEN25,36334 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),1/14/1997 7:22:46 AM (1997-01-14 15:22:46 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),DEC3D57C0EC1E3BD8DC7C8A648CBD9E0,5D1F1D51ABB06D720F6652D0339B15869E2A3BC1,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\MILLEN25.wpd
Bookmark: 03 Suberies III: Natural History Column,NATHI56A.doc,/CM117.ad1/A::A:\/NATHI56A.doc,34915 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),7/16/1997 3:18:28 PM (1997-07-16 22:18:28 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),692583FB121FF28F209360A4D7A2DDE2,7F59E07E8AB1A3F330E42B21F8817E08C6190D7A,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 6.0,files\NATHI56A.doc.wpd
Bookmark: 03 Suberies III: Natural History Column,NATHIN10,/CM082.ad1/A::A:\/NATHIN10,28638 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),10/16/1992 3:12:58 PM (1992-10-16 22:12:58 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),E8F7F7C444A45005B460BB0E22C44D63,0F1AEAAC90EF02CD6414875FA1FE7690926B1865,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN10.wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN11,/CM082.ad1/A::A:\/NATHIN11,25792 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),11/24/1992 5:48:18 PM (1992-11-25 01:48:18 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),BBCE8AF4F95C469E6B4787FBD1D32198,6032A222D76FEBC223ACFE1C4C164352387B6A0B,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN11.wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN12,/CM082.ad1/A::A:\/NATHIN12,24106 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),12/18/1992 12:05:08 PM (1992-12-18 20:05:08 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),3AC565B4D0ED6AD9BCBB6844D98B5BD7,D8608433136A8A2B71E74CE54763CA5316DFD886,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN12.wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN12,/CM031.ad1/A::A:\/NATHIN12,24106 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),12/18/1992 12:05:08 PM (1992-12-18 20:05:08 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),3AC565B4D0ED6AD9BCBB6844D98B5BD7,D8608433136A8A2B71E74CE54763CA5316DFD886,False,"D,CM:5.25,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN12[151004].wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN13,/CM082.ad1/A::A:\/NATHIN13,29238 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),1/14/1993 5:10:14 PM (1993-01-15 01:10:14 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),AE6485790430424E51A11565AF70C72F,0BA699067A99304BA4761548EDC763CBB7437921,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN13.wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN13,/CM031.ad1/A::A:\/NATHIN13,29238 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),1/14/1993 5:10:14 PM (1993-01-15 01:10:14 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),AE6485790430424E51A11565AF70C72F,0BA699067A99304BA4761548EDC763CBB7437921,False,"D,CM:5.25,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN13[151006].wp5
Bookmark: 03 Suberies III: Natural History Column,NATHIN14,/CM082.ad1/A::A:\/NATHIN14,23828 B,12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),2/18/1993 1:24:54 PM (1993-02-18 21:24:54 UTC),12/31/1979 11:00:00 PM (1980-01-01 07:00:00 UTC),DB20BBEF755AAA5F2E11537372D2253F,A99B5366DB2F3B11534892D571B39703953F0F24,False,"D,CM:3.5,O,A,I,P",n/a,WordPerfect 5.0,files\NATHIN14.wp5
